Data,Hora,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Resultado
29/03/2025,21:30,Cruzeiro,2.0,1.0,Mirassol,Mandante
29/03/2025,21:30,Fortaleza,2.0,0.0,Fluminense,Mandante
29/03/2025,21:30,Gremio,2.0,1.0,Atletico-MG,Mandante
29/03/2025,21:30,Juventude,2.0,0.0,Vitoria,Mandante
29/03/2025,21:30,Sao Paulo,0.0,0.0,Sport Recife,Empate
30/03/2025,00:00,Flamengo RJ,1.0,1.0,Internacional,Empate
30/03/2025,20:00,Palmeiras,0.0,0.0,Botafogo RJ,Empate
30/03/2025,22:30,Vasco,2.0,1.0,Santos,Mandante
31/03/2025,00:00,Bahia,1.0,1.0,Corinthians,Empate
01/04/2025,00:00,Bragantino,2.0,2.0,Ceara,Empate
05/04/2025,22:30,Ceara,2.0,0.0,Gremio,Mandante
05/04/2025,22:30,Corinthians,3.0,0.0,Vasco,Mandante
06/04/2025,01:00,Botafogo RJ,2.0,0.0,Juventude,Mandante
06/04/2025,20:00,Atletico-MG,0.0,0.0,Sao Paulo,Empate
06/04/2025,20:00,Fluminense,2.0,1.0,Bragantino,Mandante
06/04/2025,22:30,Internacional,3.0,0.0,Cruzeiro,Mandante
06/04/2025,22:30,Mirassol,1.0,1.0,Fortaleza,Empate
06/04/2025,22:30,Sport Recife,1.0,2.0,Palmeiras,Visitante
06/04/2025,22:30,Vitoria,1.0,2.0,Flamengo RJ,Visitante
07/04/2025,00:30,Santos,2.0,2.0,Bahia,Empate
12/04/2025,20:00,Bragantino,1.0,0.0,Botafogo RJ,Mandante
12/04/2025,20:00,Juventude,2.0,1.0,Ceara,Mandante
12/04/2025,22:30,Palmeiras,2.0,0.0,Corinthians,Mandante
13/04/2025,01:00,Vasco,3.0,1.0,Sport Recife,Mandante
13/04/2025,20:00,Bahia,1.0,1.0,Mirassol,Empate
13/04/2025,21:30,Gremio,0.0,2.0,Flamengo RJ,Visitante
13/04/2025,21:30,Sao Paulo,1.0,1.0,Cruzeiro,Empate
13/04/2025,23:30,Fluminense,1.0,0.0,Santos,Mandante
14/04/2025,00:00,Fortaleza,0.0,0.0,Internacional,Empate
14/04/2025,00:30,Atletico-MG,2.0,2.0,Vitoria,Empate
16/04/2025,01:30,Ceara,2.0,1.0,Vasco,Mandante
16/04/2025,22:30,Botafogo RJ,2.0,2.0,Sao Paulo,Empate
16/04/2025,23:00,Mirassol,4.0,1.0,Gremio,Mandante
16/04/2025,23:00,Sport Recife,0.0,1.0,Bragantino,Visitante
16/04/2025,23:30,Corinthians,0.0,2.0,Fluminense,Visitante
16/04/2025,23:30,Internacional,0.0,1.0,Palmeiras,Visitante
17/04/2025,01:30,Flamengo RJ,6.0,0.0,Juventude,Mandante
17/04/2025,01:30,Santos,2.0,0.0,Atletico-MG,Mandante
17/04/2025,01:30,Vitoria,2.0,1.0,Fortaleza,Mandante
18/04/2025,01:30,Cruzeiro,3.0,0.0,Bahia,Mandante
19/04/2025,20:00,Corinthians,2.0,1.0,Sport Recife,Mandante
19/04/2025,22:30,Vasco,0.0,0.0,Flamengo RJ,Empate
20/04/2025,01:00,Gremio,1.0,1.0,Internacional,Empate
20/04/2025,15:00,Juventude,2.0,2.0,Mirassol,Empate
20/04/2025,20:00,Atletico-MG,1.0,0.0,Botafogo RJ,Mandante
20/04/2025,20:00,Sao Paulo,2.0,1.0,Santos,Mandante
20/04/2025,22:30,Fluminense,1.0,1.0,Vitoria,Empate
20/04/2025,22:30,Fortaleza,1.0,2.0,Palmeiras,Visitante
21/04/2025,00:30,Bragantino,1.0,0.0,Cruzeiro,Mandante
22/04/2025,00:00,Bahia,1.0,0.0,Ceara,Mandante
26/04/2025,20:00,Internacional,3.0,1.0,Juventude,Mandante
26/04/2025,22:30,Ceara,1.0,1.0,Sao Paulo,Empate
26/04/2025,22:30,Mirassol,2.0,2.0,Atletico-MG,Empate
27/04/2025,00:00,Sport Recife,0.0,0.0,Fortaleza,Empate
27/04/2025,01:00,Botafogo RJ,2.0,0.0,Fluminense,Mandante
27/04/2025,20:00,Flamengo RJ,4.0,0.0,Corinthians,Mandante
27/04/2025,22:30,Cruzeiro,1.0,0.0,Vasco,Mandante
27/04/2025,22:30,Palmeiras,0.0,1.0,Bahia,Visitante
27/04/2025,22:30,Vitoria,1.0,1.0,Gremio,Empate
28/04/2025,00:30,Santos,1.0,2.0,Bragantino,Visitante
03/05/2025,01:30,Sao Paulo,0.0,0.0,Fortaleza,Empate
03/05/2025,22:30,Ceara,1.0,0.0,Vitoria,Mandante
03/05/2025,22:30,Corinthians,4.0,2.0,Internacional,Mandante
03/05/2025,22:30,Fluminense,2.0,1.0,Sport Recife,Mandante
04/05/2025,01:00,Bahia,1.0,0.0,Botafogo RJ,Mandante
04/05/2025,20:00,Gremio,1.0,0.0,Santos,Mandante
04/05/2025,20:00,Vasco,0.0,1.0,Palmeiras,Visitante
04/05/2025,22:30,Cruzeiro,2.0,1.0,Flamengo RJ,Mandante
05/05/2025,23:00,Bragantino,1.0,0.0,Mirassol,Mandante
06/05/2025,00:00,Juventude,0.0,1.0,Atletico-MG,Visitante
