Data,Hora,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Resultado
03/04/2026,01:30,Bragantino,3.0,0.0,Flamengo RJ,Mandante
03/04/2026,01:30,Palmeiras,2.0,1.0,Gremio,Mandante
04/04/2026,22:30,Sao Paulo,4.0,1.0,Cruzeiro,Mandante
05/04/2026,00:30,Coritiba,1.0,1.0,Fluminense,Empate
05/04/2026,01:00,Vasco,1.0,2.0,Botafogo RJ,Visitante
05/04/2026,20:00,Chapecoense-SC,1.0,1.0,Vitoria,Empate
05/04/2026,21:30,Atletico-MG,2.0,1.0,Athletico-PR,Mandante
05/04/2026,21:30,Flamengo RJ,3.0,1.0,Santos,Mandante
05/04/2026,23:30,Bahia,1.0,2.0,Palmeiras,Visitante
05/04/2026,23:30,Corinthians,0.0,1.0,Internacional,Visitante
06/04/2026,00:00,Mirassol,0.0,1.0,Bragantino,Visitante
06/04/2026,00:30,Gremio,0.0,0.0,Remo,Empate
